PenId,WellPlateID,WellPlateIndex,WellRow,WellColumn,Barcode,ExportCount,Species,BarcodeSet
5068,WP30105,0,A,1,C1D0F1T0,1,mm,a4_121820
11291,WP30105,0,A,1,C0D0F1T0,1,mm,a4_121820
9609,WP30105,0,A,1,C0D0F1T1,1,mm,a4_121820
5095,WP30105,0,A,1,C1D0F0T1,1,mm,a4_121820
6638,WP30105,0,A,1,C0D1F1T1,1,mm,a4_121820
6492,WP30105,0,A,1,C1D0F0T0,1,mm,a4_121820
6646,WP30105,0,A,1,C1D1F0T0,1,mm,a4_121820
1838,WP30105,0,A,1,C0D0F0T1,2,mm,a4_121820
8141,WP30105,0,A,1,C1D1F1T1,1,mm,a4_121820
11282,WP30105,0,A,1,C0D1F0T0,1,mm,a4_121820
146,WP30105,0,A,1,C0D1F0T1,1,mm,a4_121820
9758,WP30105,0,A,1,C0D1F1T0,1,mm,a4_121820
372,WP30105,0,A,2,C0D1F1T0,1,mm,a4_121820
12855,WP30105,0,A,2,C0D1F1T1,1,mm,a4_121820
8001,WP30105,0,A,2,C0D1F0T1,1,mm,a4_121820
1900,WP30105,0,A,2,C1D1F1T1,1,mm,a4_121820
11285,WP30105,0,A,2,C0D1F0T0,1,mm,a4_121820
3551,WP30105,0,A,2,C1D1F0T0,1,mm,a4_121820
1923,WP30105,0,A,2,C1D0F1T0,1,mm,a4_121820
11297,WP30105,0,A,2,C1D0F0T1,1,mm,a4_121820
3446,WP30105,0,A,2,C0D0F1T0,1,mm,a4_121820
4946,WP30105,0,A,2,C1D0F0T0,1,mm,a4_121820
9452,WP30105,0,A,2,C0D0F1T1,2,mm,a4_121820
6552,WP30105,0,A,2,C0D0F0T1,0,mm,a4_121820
284,WP30105,0,A,3,C0D1F0T0,1,mm,a4_121820
1853,WP30105,0,A,3,C1D1F1T1,1,mm,a4_121820
12764,WP30105,0,A,3,C0D0F1T1,1,mm,a4_121820
11160,WP30105,0,A,3,C0D1F1T0,0,mm,a4_121820
348,WP30105,0,A,3,C1D1F0T0,2,mm,a4_121820
1805,WP30105,0,A,3,C0D0F1T0,1,mm,a4_121820
5039,WP30105,0,A,3,C1D0F0T1,1,mm,a4_121820
6475,WP30105,0,A,3,C1D0F1T0,1,mm,a4_121820
9490,WP30105,0,A,3,C1D0F0T0,1,mm,a4_121820
3276,WP30105,0,A,3,C0D1F0T1,1,mm,a4_121820
11213,WP30105,0,A,3,C0D0F0T1,1,mm,a4_121820
1903,WP30105,0,A,3,C0D1F1T1,0,mm,a4_121820
11222,WP30105,0,A,4,C1D1F1T1,1,mm,a4_121820
11230,WP30105,0,A,4,C0D0F0T1,1,mm,a4_121820
8021,WP30105,0,A,4,C0D1F1T1,1,mm,a4_121820
3553,WP30105,0,A,4,C1D1F0T0,1,mm,a4_121820
6422,WP30105,0,A,4,C0D0F1T0,1,mm,a4_121820
4787,WP30105,0,A,4,C1D0F0T0,1,mm,a4_121820
7957,WP30105,0,A,4,C0D1F1T0,1,mm,a4_121820
12730,WP30105,0,A,4,C0D0F1T1,1,mm,a4_121820
15979,WP30105,0,A,4,C0D1F0T1,1,mm,a4_121820
