ENSGACT00000021442.1	selenot2
ENSGACT00000021449.1	cox18
ENSGACT00000021452.1	cox18
ENSGACT00000021457.1	igfbp7
ENSGACT00000021497.1	polr2b
ENSGACT00000021502.1	polr2b
ENSGACT00000021509.1	sqstm1
ENSGACT00000021511.1	sqstm1
ENSGACT00000021515.1	tbc1d9
ENSGACT00000021519.1	rnf130
ENSGACT00000021522.1	rnf130
ENSGACT00000021523.1	si:ch211-132p1.2
ENSGACT00000021539.1	tbc1d2
ENSGACT00000021545.1	tbc1d2
ENSGACT00000021564.1	ABCA1 (1 of many)
ENSGACT00000021573.1	nipsnap3a
ENSGACT00000021575.1	noa1
ENSGACT00000021578.1	rest
ENSGACT00000021581.1	b4galt1l
ENSGACT00000021586.1	b4galt1l
ENSGACT00000021587.1	b4galt1l
ENSGACT00000021591.1	matr3l1.1
ENSGACT00000021600.1	exosc3
ENSGACT00000021603.1	exosc3
ENSGACT00000021608.1	tgfbi
ENSGACT00000021614.1	stard15
ENSGACT00000021621.1	arap3
ENSGACT00000021623.1	cplx2
ENSGACT00000021626.1	thoc3
ENSGACT00000021629.1	gm2a
ENSGACT00000021632.1	pcdh12
ENSGACT00000021634.1	pcdh1b
ENSGACT00000021636.1	si:rp71-1d10.5
ENSGACT00000021638.1	si:rp71-1d10.5
ENSGACT00000021641.1	tmed9
ENSGACT00000021649.1	b4galt7
ENSGACT00000021651.1	emx3
ENSGACT00000021662.1	nkx3.2
ENSGACT00000021669.1	aurkb
ENSGACT00000021672.1	aurkb
ENSGACT00000021688.1	COPS6
ENSGACT00000021695.1	mcm7
ENSGACT00000021699.1	gpc2
ENSGACT00000021714.3	slit3
ENSGACT00000021725.1	fgfrl1a
ENSGACT00000021729.1	si:ch211-255i20.3
ENSGACT00000021735.1	spon2b
ENSGACT00000021737.1	spon2b
ENSGACT00000021740.1	spon2b
ENSGACT00000021747.1	zgc:136929
ENSGACT00000021753.1	maea
ENSGACT00000021756.1	hnrnpa0b
ENSGACT00000021764.2	klhl3
ENSGACT00000021767.1	klhl3
ENSGACT00000021774.2	fam13b
ENSGACT00000021780.1	cxcl14
ENSGACT00000021781.1	cxcl14
ENSGACT00000021784.1	cxcl14
ENSGACT00000021786.1	lingo2a
ENSGACT00000021787.1	eif4ea
ENSGACT00000021799.1	zgc:77938
ENSGACT00000021804.1	pitx2
ENSGACT00000021805.1	pitx2
ENSGACT00000021806.1	pitx2
ENSGACT00000021813.1	elovl6
ENSGACT00000021816.1	elovl6
ENSGACT00000021817.1	egf
ENSGACT00000021820.1	lrit3a
ENSGACT00000021828.1	gpm6aa
ENSGACT00000021840.1	asb5a
ENSGACT00000021857.1	tdo2a
ENSGACT00000021869.1	si:dkey-237h12.3
ENSGACT00000021873.1	si:dkey-237h12.3
