chr,start,end,score,CL12w16-3_atac_LITC,CL12w16-3_atac.MATA,CL12_wgs.LITC,CL12_wgs.MATA
chrI,3905,4333,1000,0,0,0,0
chrI,4445,4644,1000,41,38,6,6
chrI,4875,5275,1000,98,78,22,17
chrI,37136,37830,1000,0,427,1,35
chrI,53592,54364,1000,184,114,17,17
chrI,61877,62312,1000,0,0,0,0
chrI,62915,63486,1000,36,39,8,12
chrI,81847,83203,1000,104,89,28,21
chrI,98551,99099,1000,78,52,16,11
chrI,108806,109030,1000,112,116,13,17
chrI,112331,112694,1000,0,0,0,0
chrI,112910,113273,1000,0,0,0,0
chrI,134994,136558,1000,286,275,45,30
chrI,139446,139866,1000,255,236,17,11
chrI,146451,146822,1000,0,3,8,13
chrI,151678,152243,1000,505,464,24,38
chrI,154717,155328,1000,26,22,16,15
chrI,155561,155687,1000,40,46,9,19
chrI,163776,163941,1000,0,0,0,0
chrI,166236,166507,1000,0,0,0,0
chrI,167864,169043,1000,395,389,39,31
chrI,175329,176264,1000,0,908,13,16
chrI,296367,297060,1000,43,53,14,15
chrI,300170,300909,1000,165,0,0,0
chrI,301063,301363,1000,0,0,0,0
chrI,305689,306236,1000,36,20,14,7
chrI,318833,319362,1000,0,0,0,0
chrI,327405,328273,1000,200,137,21,40
chrI,334563,335304,1000,53,37,19,18
chrI,354050,354406,1000,0,0,0,0
chrI,358319,358616,969,132,134,44,56
chrI,362324,362551,1000,7,11,3,1
chrI,367615,368904,1000,0,0,0,0
chrI,371126,371742,1000,20,26,20,7
chrI,373043,373281,1000,4,5,9,4
chrI,374704,375326,1000,0,0,1,2
chrI,423579,423880,1000,202,208,8,18
chrI,461209,461795,1000,8,6,5,5
chrI,495456,496626,1000,142,0,14,0
chrI,502559,503328,1000,60,0,30,0
chrI,503437,503702,829,0,0,0,0
chrI,504046,504383,1000,2,0,1,0
chrI,507212,507423,1000,0,0,0,0
chrI,507660,507810,1000,5,0,7,2
chrI,523924,524510,590,129,135,51,62
chrI,537538,537858,1000,0,0,0,0
chrI,542352,542636,1000,29,218,15,143
chrI,543058,543215,1000,0,0,0,0
chrI,564124,564820,1000,0,0,0,0
chrI,593782,594097,1000,5,5,8,3
chrI,595853,596113,1000,58,42,7,9
chrI,625511,625967,1000,0,0,0,0
chrI,644246,644783,1000,4,8,4,4
chrI,645583,646178,1000,0,0,0,0
chrI,655816,656085,801,0,0,0,0
chrI,656259,657117,1000,150,166,12,14
chrI,673577,673772,1000,0,0,0,0
chrI,688147,688581,1000,8,7,3,7
chrI,688683,688853,1000,0,0,0,0
chrI,689509,689885,761,0,0,0,0
chrI,691923,692205,1000,0,14,6,4
chrI,692319,692681,1000,534,276,48,39
chrI,699323,699937,1000,191,131,22,16
chrI,700093,700666,1000,127,199,11,12
chrI,700832,701057,1000,0,0,0,0
chrI,701789,702087,1000,0,0,0,0
chrI,704747,705004,1000,187,209,25,30
chrI,705111,705633,1000,78,84,35,25
chrI,747315,747526,1000,0,0,0,0
chrI,764839,765104,1000,0,0,0,0
chrI,799900,800358,930,0,116,20,12
chrI,807653,808004,1000,180,44,100,7
chrI,815446,815969,1000,0,0,0,0
chrI,826612,826821,1000,0,0,0,0
chrI,857966,858618,1000,297,315,26,18
chrI,858926,859408,1000,0,0,0,0
chrI,906068,906399,1000,2,8,4,8
